AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
Tyler Prize for Environmental Achievement	prize administered by the University of Southern California	6.0	21.0	0.0	0.0	0.002962306141853333	1975-01-01T00:00:00Z	2020-01-01T00:00:00Z	Anne H. Ehrlich; Bruce Ames; Charles David Keeling; Diana Wall; Edward D. Goldberg; Edward O. Wilson; Frank Sherwood Rowland; Hans Oeschger; Hans Rudolf Herren; Harold A. Mooney; Jane Goodall; Jerrold Meinwald; John H. Seinfeld; John Holdren; Liu Dongsheng; Lonnie Thompson; May Berenbaum; Nancy Pearlman; Partha Dasgupta; Paul Josef Crutzen; Pavan Sukhdev; Perry McCarty; Richard Doll; Richard Vollenweider; Ruth Patrick; Simon A. Levin; Veerabhadran Ramanathan
UCL Prize Lecture in Clinical Science	English science award	1.0	0.0	0.0	0.0	1.0	2016-01-01T00:00:00Z	2016-01-01T00:00:00Z	Françoise Barré-Sinoussi
UMSICHT Science Award	$null$	0.0	2.0	0.0	0.0	0.25	2014-01-01T00:00:00Z	2017-01-01T00:00:00Z	Gábor Paál; Michael Saliba
UNESCO Albert Einstein medal	award to outstanding scientific personalities who made a great contribution to science and international scientific cooperation	0.0	3.0	0.0	0.0	0.125	1995-01-01T00:00:00Z	2011-01-01T00:00:00Z	Herwig Schopper; Nikolai Drozdov; Viktor Bykov
UNESCO Niels Bohr Medal	$null$	0.0	8.0	0.0	0.0	0.00390625	1998-01-01T00:00:00Z	2013-01-01T00:00:00Z	Alain Aspect; Jimmy Wales; John Pendry; Kip S. Thorne; Martin Rees; Tim Berners-Lee; Vitaly Ginzburg; Walter Kohn
UNESCO Science Prize	biennial scientific prize	1.0	2.0	0.0	0.0	0.5	1989-01-01T00:00:00Z	1997-01-01T00:00:00Z	Johanna Döbereiner; Marcos Moshinsky; Octavio Novaro
UNESCO-Equatorial Guinea International Prize for Research in the Life Sciences	$null$	1.0	3.0	0.0	0.0	0.3125	2012-01-01T00:00:00Z	2015-01-01T00:00:00Z	André Bationo; Felix Dapare Dakora; Manoel Barral-Netto; Rossana Arroyo
UNESCO/Institut Pasteur Medal	$null$	1.0	0.0	0.0	0.0	1.0	1997-01-01T00:00:00Z	1997-01-01T00:00:00Z	Esther Orozco
Union Medal of the British Ornithological Union	medal awarded by the BOU for services to ornithology.	0.0	5.0	0.0	0.0	0.03125	1959-01-01T00:00:00Z	2015-01-01T00:00:00Z	John Patrick Croxall; Karel Voous; Norman W. Moore; Peter Scott; Sandy Wollaston
Ur-Krostitzer Annual Ring	$null$	0.0	1.0	0.0	0.0	0.5	2018-12-01T00:00:00Z	2018-12-01T00:00:00Z	Joachim Krause
