AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
Caccioppoli Prize	award	0.0	3.0	0.0	0.0	0.125	1982-01-01T00:00:00Z	1994-01-01T00:00:00Z	Antonio Ambrosetti; Corrado de Concini; Nicola Fusco
Canada Gairdner Global Health Award	award	2.0	10.0	0.0	0.0	0.019287109375000007	2009-01-01T00:00:00Z	2020-01-01T00:00:00Z	Alan Lopez; Anthony Fauci; Brian Greenwood; Cesar Victora; Christopher J.L. Murray; Nicholas John White; Nubia Muñoz; Peter Piot; Quarraisha Karim; Salim Abdool Karim; Satoshi Ōmura; Vikram Patel
Canadian Metal Physics Medal	science award	0.0	1.0	0.0	0.0	0.5	1977-01-01T00:00:00Z	1977-01-01T00:00:00Z	Zbigniew Stanislaw Basinski
Career SCB Award	Award given by Catalan Society of Biology for the developments of the career of their awardees	1.0	3.0	0.0	0.0	0.3125	2016-01-01T00:00:00Z	2020-01-01T00:00:00Z	Anna Verga Lluch; Francesc Xavier Avilés i Puigvert; Joan Massagué Solé; Miguel Beato del Rosal
Carl Duisberg Memorial Award	chemistry award	0.0	10.0	0.0	0.0	0.0009765625	1939-01-01T00:00:00Z	2016-01-01T00:00:00Z	Felix Raoul Fischer; Fritz Eckstein; Hans Brockmann; Hans Lettré; Henri Brunner; Joachim Maier; Karl Gleu; Rüdiger Beckhaus; Thomas Junkers; Werner Kutzelnigg
Carl Friedrich Gauss Medal	$null$	2.0	48.0	0.0	0.0	1.1333156635373598e-12	1949-01-01T00:00:00Z	2017-01-01T00:00:00Z	Albert Betz; Angela D. Friederici; Antje Boetius; Arno Borst; Arnold Esch; Carl Wagner; David Crighton; Friedrich Tamms; Fritz Arndt; Gerhard Ertl; Gottfried Köthe; Hans Brockmann; Hans Kuhn; Heinz Beneking; Helmut Moritz; Henry Görtler; Hubert Rüsch; James Lighthill; Johan Arvid Hedvall; Johannes Fried; Josef Fleckenstein; Klaus Hopt; Klaus Müllen; Klaus von Klitzing; Kurt Klöppel; László Fejes Tóth; Martin Kneser; Max Strutt; Niklot Klüßendorf; Pascual Jordan; Peter Bürger; Raymond Klibansky; Reinhard Rummel; Robert Piloty; Rudolf K. Thauer; Theodore von Kármán; Ulrich Finsterwalder; Ulrich Grigull; Walter Burkert; Walter Dieminger; Walter H. Schottky; Walter Reppe; Werner Oechslin; Werner Schmeidler; Wilfried Krätzig; Wilhelm Becker; Wilhelm Nusselt; Wolf von Engelhardt; Wolfgang Krätschmer; Wolfgang Schröder
Carl Friedrich Gauss Prize	award	0.0	4.0	0.0	0.0	0.0625	2006-01-01T00:00:00Z	2018-01-01T00:00:00Z	David Donoho; Kiyoshi Itō; Stanley Osher; Yves Meyer
Carl Sagan Award for Public Understanding of Science	science communication award	1.0	8.0	0.0	0.0	0.01953125	1993-01-01T00:00:00Z	2009-01-01T00:00:00Z	Alan Alda; Bill Nye; Carl Sagan; Cheryl Heuton; Edward O. Wilson; John Rennie; Kenneth R. Weiss; Nicolas Falacci; Thomas Friedman
Carl Sagan Medal	$null$	3.0	6.0	0.0	0.0	0.25390625	1998-01-01T00:00:00Z	2014-01-01T00:00:00Z	Carolyn Porco; Clark Chapman; David Morrison; Guy Consolmagno; Heidi Hammel; James F. Bell, III; Patrick Michel; Rosaly Lopes; William Kenneth Hartmann
Carl Zeiss Research Award	$null$	0.0	4.0	0.0	0.0	0.0625	1992-01-01T00:00:00Z	2009-01-01T00:00:00Z	Ahmed Zewail; Eric Allin Cornell; Juan Ignacio Cirac Sasturain; Martin Wegener
Carl-Gustaf Rossby Research Medal	award	3.0	49.0	0.0	0.0	5.213385279034806e-12	1951-01-01T00:00:00Z	2020-01-01T00:00:00Z	Arnt Eliassen; Barry Saltzman; Bernhard Haurwitz; Bert Bolin; Brian Hoskins; Carl-Gustaf Rossby; Chester W. Newton; Christian Junge; David Atlas; Dennis L. Hartmann; Douglas K. Lilly; Edward J. Zipser; Edward Norton Lorenz; Erik Palmén; Harry Wexler; Herbert Riehl; Hsiao-Lan Kuo; Hurd Curtis Willett; Isaac Held; Jacob Bjerknes; Jagdish Shukla; James Edward Hansen; James R. Holton; Jerome Namias; Jerry D. Mahlman; Joanne Simpson; John Michael Wallace; John von Neumann; Joseph B. Klemp; Joseph Smagorinsky; Jule Gregory Charney; Julia Slingo; Keith Browning; Kerry Emanuel; Michael E. McIntyre; Norman A. Phillips; Owen Toon; Peter J. Webster; Richard J. Reed; Richard Rotunno; Robert A. Houze; Robert E. Dickinson; Roscoe R. Braham, Jr.; Sean A. Twomey; Susan Solomon; Syukuro Manabe; T. N. Krishnamurti; Taroh Matsuno; Tim Palmer; Veerabhadran Ramanathan; Verner E. Suomi; Victor Starr
Carl-Hermann-Medal	$null$	0.0	7.0	0.0	0.0	0.0078125	1999-01-01T00:00:00Z	2014-01-01T00:00:00Z	Axel T. Brunger; Emil Makovicky; George M. Sheldrick; Heinz Jagodzinski; Peter Paufler; Werner Fischer; Wolfgang Jeitschko
Carl-Ludwig Honorary Medal	$null$	1.0	24.0	0.0	0.0	7.748603820800779e-07	1932-01-01T00:00:00Z	2007-01-01T00:00:00Z	Albrecht Fleckenstein; Aloys Müller; Arthur Weber; Carl J. Wiggers; Franz Büchner; Franz Loogen; Friedrich Moritz; Hans-Jürgen Bretschneider; Hasso Scholz; Helen B. Taussig; Hermann Rein; Jürgen Meyer; Karel Frederik Wenckebach; Karl Hürthle; Ludwig Aschoff; Martin Kaltenbach; Max Holzmann; Otto Frank; Otto Gauer; Otto Loewi; Rudi Busse; Sven Effert; Ulf von Euler; Wilhelm His; Wolfgang Schaper
Carl-Ritter-Medal	$null$	0.0	81.0	0.0	0.0	4.1359030627651384e-25	1881-01-01T00:00:00Z	1983-01-01T00:00:00Z	Albert Kolb; Albert Tafel; Alfred Hettner; Alfred Philippson; Alfred Wegener; Alfred de Quervain; Bjørn Helland-Hansen; Bruno Hassenstein; Carl Rathjens; Carl Schott; Carl Troll; Edwin Fels; Emil Meynen; Erich Otremba; Erich von Drygalski; Erik Arnberger; Ernst Neef; Ernst Plewe; Franz Stuhlmann; Franz Termer; Fridtjof Nansen; Fritz Baedeker; Fritz Bartz; Fritz Machatschek; Fritz Sarasin; Georg Niemeier; Gerhard Schott; Gottfried Merzbacher; Gustav Adolf von Götzen; Gustav Fochler-Hauke; Hanno Beck; Hans Bobek; Hans Kinzl; Hans Poser; Hans Spethmann; Hans Spreitzer; Hans Steffen; Harald Sverdrup; Herbert Liedtke; Herbert Louis; Herbert Wilhelmy; Hermann Flohn; Hermann Lautensach; Hermann Wagner; Hermann Wissmann; Hermann von Wissmann; Hubert Wilkins; Joachim Heinrich Schultze; Johan Peter Koch; Joseph Fischer; Joseph Partsch; Julius Büdel; Karl Sapper; Karl von den Steinen; Lauge Koch; Ludwig von Höhnel; Oscar Baumann; Oskar Lenz; Otto Baschin; Otto Maull; Otto Schlüter; Paul Reichard;
Carlos J. Finlay UNESCO Prize for Microbiology	scientific award	0.0	1.0	0.0	0.0	0.5	1983-01-01T00:00:00Z	1983-01-01T00:00:00Z	César Milstein
Carlos Ponce Conservation Award	environmental award in Peru	0.0	1.0	0.0	0.0	0.5	2014-01-01T00:00:00Z	2014-01-01T00:00:00Z	Víctor Zambrano Gonzáles
Carlsberg Foundation Research Prize	$null$	1.0	0.0	0.0	0.0	1.0	2011-01-01T00:00:00Z	2011-01-01T00:00:00Z	Lene Vestergaard Hau
Carol Karp Prize	award	0.0	9.0	0.0	0.0	0.001953125	1978-01-01T00:00:00Z	2013-01-01T00:00:00Z	Alec Wilkie; Alec Wilkie; Alexander S. Kechris; Donald A. Martin; Ehud Hrushovski; Ehud Hrushovski; Robert Lawson Vaught; Sergei Stepanovich Starchenko; Zlil Sela
Carus medal	$null$	0.0	11.0	0.0	0.0	0.00048828125	1896-01-01T00:00:00Z	2001-01-01T00:00:00Z	Bert Sakmann; Erwin Neher; Feodor Felix Konrad Lynen; Hans Joachim Gross; Heinz Maier-Leibnitz; Jörg Hacker; Max Verworn; Otto Westphal; Rudolf Kippenhahn; Walter Schaffner; Wilhelm Filchner
Catalonia National Research Award	$null$	0.0	1.0	0.0	0.0	0.5	2019-01-01T00:00:00Z	2019-01-01T00:00:00Z	Josep Tabernero Caturla
Centenary Prize	award granted by the Royal Society of Chemistry	2.0	148.0	0.0	0.0	7.935553203471442e-42	1949-01-01T00:00:00Z	2017-01-01T00:00:00Z	Aaron Ciechanover; Achim Müller; Akkihebbal Ravishankara; Alan Cowley; Alan MacDiarmid; Alan Sargeson; Albert Eschenmoser; Alexander Nikolaievich Terenin; Alexander Pines; Alois Fürstner; Amos Smith; Arndt Simon; Arne Tiselius; Athelstan Beckwith; Avelino Corma Canós; Barry Trost; Ben Feringa; Benjamin Widom; Carl Djerassi; Carlo Floriani; Chad Mirkin; Charles B. Colburn; Chi-Ming Che; Chintamani Nagesa Ramachandra Rao; Colette Demuynck; Dieter Seebach; Don Tilley; Donald J. Cram; Dudley R. Herschbach; Duilio Arigoni; Earl Muetterties; Edgar Bright Wilson; Edgar Lederer; Edward I. Solomon; Eiichi Nakamura; Elias James Corey; Endel Lippmaa; Eric Herbst; Ernst Otto Fischer; Erwin Wilhelm Müller; F. Albert Cotton; F. Fleming Crim; Feodor Felix Konrad Lynen; Frank Westheimer; Fraser Stoddart; G. Marius Clore; Geoffrey A Ozin; George Andrew Olah; Gerhard Ertl; Gerhard Herzberg; Gilbert Stork; Glenn Seaborg; Goverdhan Mehta; Graham Fleming; Gérard Jaouen; Hans Schmid; Hans-Joachim Freund; Ha
Ceram Award	prize for archaeological books	0.0	1.0	0.0	0.0	0.5	1991-01-01T00:00:00Z	1991-01-01T00:00:00Z	Wolfgang W. Wurster
Champalimaud Vision Award	award for vision research	2.0	5.0	0.0	0.0	0.2265624999999998	2008-01-01T00:00:00Z	2016-01-01T00:00:00Z	Carla J. Shatz; Carol Mason; David R. Williams; James Fujimoto; Jeremy Nathans; Napoleone Ferrara; William Newsome
Champions of the Earth	award	13.0	34.0	0.0	0.0	0.0015438382307593201	2005-01-01T00:00:00Z	2020-01-01T00:00:00Z	Al Gore; Albert II, Prince of Monaco; Angélique Kidjo; Bertrand Piccard; Bharrat Jagdeo; Boyan Slat; Brian McClendon; Carlo Petrini; Erik Solheim; Fatima Jibrell; Felipe Calderón; Helen Clark; Jack Dangermond; Jacques Rogge; Janez Potočnik; Janine Benyus; Jeff Orlowski; Jigme Singye Wangchuck; Julia Carabias; Kevin Conrad; Louis Palmer; Marina Silva; Masoumeh Ebtekar; Mikhail Gorbachev; Mohamed El-Ashry; Mohamed Nasheed; Nemonte Nenquimo; Olga Speranskaya; Patriarch Bartholomew of Constantinople; Paul Polman; Prince Hassan bin Talal; Robert Watson; Rosa Elena Simeón Negrín; Sheikh Hasina; Sheila Watt-Cloutier; Taro Takahashi; Tewolde Berhan Gebre Egziabher; Thabo Mbeki; Tim Wirth; Tommy Koh; Tsakhiagiin Elbegdorj; Veerabhadran Ramanathan; Vinod Khosla; Yann Arthus-Bertrand; Zayed bin Sultan Al Nahyan; Zhou Qiang; Zhou Xun
Chanchlani Global Health Research Award	$null$	0.0	1.0	0.0	0.0	0.5	2017-01-01T00:00:00Z	2017-01-01T00:00:00Z	John P. A. Ioannidis
Chapman Medal	$null$	1.0	11.0	0.0	0.0	0.0031738281250000004	1976-01-01T00:00:00Z	2019-01-01T00:00:00Z	André Balogh; Emma Bunce; Eugene Parker; Ian Axford; James Dungey; Jeremy Bloxham; Peter Goldreich; Richard Harrison; Stan Cowley; Stanley William Herbert Cowley; Syun-Ichi Akasofu; Tom Stallard
Charles Doolittle Walcott Medal	award	0.0	7.0	0.0	0.0	0.0078125	1934-01-01T00:00:00Z	1982-01-01T00:00:00Z	Aleksandr Vologdin; Allison R. Palmer; Anton Hilmer Westergård; Armin Öpik; David White; Elso Sterrenberg Barghoorn; Martin Glaessner
Charles F. Kettering Prize	oncology award	0.0	27.0	0.0	0.0	7.450580596923828e-09	1981-01-01T00:00:00Z	2004-01-01T00:00:00Z	Barnett Rosenberg; Basil Hirschowitz; Bernard Fisher; Brian Druker; David Cox; David E. Kuhl; E. Donnall Thomas; Emil J. Freireich; Gianni Bonadonna; Herman D. Suit; Howard E. Skipper; Laurent Degos; Lawrence Einhorn; Malcolm Bagshaw; Michael E. Phelps; Monroe Eliot Wall; Mortimer Elkind; Nicholas Lydon; Norbert Brock; Patrick Craig Walsh; Paul Lauterbur; Robert Samuel Langer, Jr.; Ronald Levy; Sam Shapiro; V. Craig Jordan; Victor Ling; Wang Zhenyi
Charles Fleming Award for Environmental Achievement	environmental science award in New Zealand	1.0	11.0	0.0	0.0	0.0031738281250000004	1989-01-01T00:00:00Z	2019-01-01T00:00:00Z	Alan Mark; Brian Peter John Molloy; Bruce D. Clarkson; David A. Thom; David R. Towns; Don Merton; Ian Athol Edward Atkinson; John Lawrence Craig; Liz Slooten; Mick Clout; Mike Joy; Stephen M Dawson
Charles P. Daly Medal	award from the American Geographical Society	0.0	2.0	0.0	0.0	0.25	1912-01-01T00:00:00Z	1914-01-01T00:00:00Z	Albrecht Penck; Roald Amundsen
Charles P. “Chuck” Thacker Breakthrough in Computing Award	award	0.0	1.0	0.0	0.0	0.5	2018-01-01T00:00:00Z	2018-01-01T00:00:00Z	Mendel Rosenblum
Charles S. Mott Prize	award	1.0	8.0	0.0	0.0	0.01953125	1978-01-01T00:00:00Z	2005-01-01T00:00:00Z	Arnold J. Levine; Charles J. Sherr; Elizabeth C. Miller; Gerald N. Wogan; Jesse Summers; Richard Doll; Richard Kolodner; Richard Peto; Webster Cavenee
Charles Schuchert Award	Presented by the Paleontological Society	2.0	11.0	0.0	0.0	0.011230468750000002	1973-01-01T00:00:00Z	2018-01-01T00:00:00Z	Alycia Stigall; Caroline Strömberg; David M. Raup; Douglas Erwin; Gene Hunt; Jack Sepkoski; Jonathan Payne; Loren E. Babcock; Peter Crane; Robert L. Carroll; Seth Finnegan; Steven M. Stanley; Thomas J. M. Schopf
Charles Stark Draper Prize	"one of three prizes that constitute the ""Nobel Prizes of Engineering"	1.0	16.0	0.0	0.0	0.0001373291015625	1989-01-01T00:00:00Z	2018-01-01T00:00:00Z	Bjarne Stroustrup; Charles K. Kao; Charles P. Thacker; Frances Arnold; Frank Whittle; George H. Heilmeier; Hans von Ohain; Jack Kilby; Lawrence Roberts; Leonard Kleinrock; Martin Cooper; Minoru S. Araki; Rachid Yazami; Robert H. Dennard; Robert Taylor; Vladimir Haensel; Willard Boyle
Chauvenet Prize	mathematics award in expository writing	2.0	4.0	0.0	0.0	0.3437500000000001	1935-01-01T00:00:00Z	2002-01-01T00:00:00Z	Carolyn S. Gordon; Dunham Jackson; Ellen Gethner; Mark Kac; Peter Borwein; Thomas Hawkins
Chemical Institute of Canada Medal	award for chemistry	0.0	40.0	0.0	0.0	9.094947017729282e-13	1951-01-01T00:00:00Z	2015-01-01T00:00:00Z	Adi Eisenberg; Alvin R. Gordon; Ashok Vijh; Axel D. Becke; Brian Robert James; Charles Alexander McDowell; Chris E. Brion; Clifford Burrough Purves; Donald James Le Roy; Edgar William Richard Steacie; G. Michael Bancroft; Harold Joseph Bernstein; Harry Gunning; Harry Thode; J. Bryan Jones; John C. D. Brand; John L. Holmes; John Polanyi; Karel Wiesner; Keith C. Yates; Léo Marion; Mitchell A. Winnik; Paul Brumer; Paul Jose de Mayo; Paul Kebarle; Paul-Antoine Giguère; Peter J. Guthrie; Peter Yates; Raymond Kapral; Raymond Lemieux; Richard Helmuth Frederick Manske; Richard J. Puddephatt; Ronald Kluger; Stanley G. Mason; Stephen Hanessian; Thorbergur Thorvaldson; Tom Ziegler; W. Howard Rapson; William Arthur Grover Graham; William-Henry Gauvin
Chemical Pioneer Award	award for chemists or chemical engineers who have made outstanding contributions to advances in chemistry or the chemical profession	8.0	3.0	0.0	0.0	0.96728515625	1975-01-01T00:00:00Z	2016-01-01T00:00:00Z	Donna Blackmond; Edith M. Flanigen; Elizabeth Lee Hazen; Frederick J. Karol; George Parshall; Helen Murray Free; Isabella Karle; Keki Hormusji Gharda; Rachel Fuller Brown; Rebecca L. Cann; Stephanie L. Kwolek
Chern Medal	award for lifelong achievement in mathematics	0.0	3.0	0.0	0.0	0.125	2010-01-01T00:00:00Z	2018-01-01T00:00:00Z	Louis Nirenberg; Masaki Kashiwara; Phillip Griffiths
China International Science and Technology Cooperation Award	$null$	0.0	1.0	0.0	0.0	0.5	2008-01-01T00:00:00Z	2008-01-01T00:00:00Z	Victor Roy Squires
Chirality Medal	$null$	0.0	8.0	0.0	0.0	0.00390625	2000-01-01T00:00:00Z	2018-01-01T00:00:00Z	Andreas Pfaltz; Bert Meijer; Daniel W. Armstrong; Dieter Seebach; Eric Jacobsen; Karl Barry Sharpless; Laurence D. Barron; Manfred T. Reetz
City of Barcelona Award	Culture award of the city of Barcelona	5.0	10.0	0.0	0.0	0.15087890625000008	1969-01-01T00:00:00Z	2017-01-01T00:00:00Z	Arcadi Espada; Carla Simón; Esther Tusquets; Ferran Monegal; Francesc Serés; Joan Fontcuberta i Gel; Joan Hernández Pijuan; Joan de Sagarra; Josep Maria Font i Rius; Josep Pla; Mariana Enriquez; María Luz Morales; Quim Monzó; Rosa Regàs; Xavier Bru de Sala i Castells
City of Vienna Prize for Architecture	architecture prize	4.0	51.0	0.0	0.0	1.0237116709888036e-11	1947-01-01T00:00:00Z	2015-01-01T00:00:00Z	Adolf Krischanitz; Anton Schweighofer; Bernard Rudofsky; Bettina Götz; Boris Podrecca; Carl Pruscha; Clemens Holzmeister; Elsa Prochazka; Erich Boltenstern; Ernst Hiesmayr; Ernst Plischke; Eugen Wachberger; Eugen Wörle; Franz E. Kneissl; Franz Schuster; Friedrich Kurrent; Gregor Eichinger; Gunther Wawrik; Gustav Peichl; Günther Domenig; Günther Feuerstein; Hans Hollein; Hans Jaksch; Hans Puchhammer; Heidulf Gerngross; Heinz Tesar; Helmut Richter; Helmut Wimmer; Hermann Czech; Johann Georg Gsteu; Johannes Spalt; Karl Schwanzer; Laura Spinadel; Laurids Ortner; Lois Welzenbacher; Luigi Blau; Margarete Schütte-Lihotzky; Max Fellerer; Norbert Schlesinger; Oskar Strnad; Oswald Haerdtl; Otto Häuselmayer; Otto Niedermoser; Ottokar Uhl; Raimund Abraham; Richard Neutra; Rob Krier; Roland Rainer; Rüdiger Lainer; Siegfried Theiss; Victor Gruen; Viktor Hufnagl; Walter Stelzhammer; Wilhelm Holzbauer; Wolfgang Windbrechtinger
City of Vienna Prize for science	$null$	2.0	27.0	0.0	0.0	8.121132850646968e-07	1947-01-01T00:00:00Z	2017-01-01T00:00:00Z	Anton Grzywienski; Anton Zeilinger; Engelbert Broda; Erich Schmid; Erwin Schrödinger; Ferenc Krausz; Franz Seitelberger; Friedrich Ehrendorfer; Friedrich G. Barth; Hans Hoff; Heinz Parkus; Herbert Feigl; Hubert Borowicka; Josef Meller; Karl Sigmund; Konrad Lorenz; Kurt Komarek; Lise Meitner; Markus Aspelmeyer; Othmar Preining; Otto Hittmair; Peter Skalicky; Renée Schroeder; Richard Kuhn; Rupert Riedl; Viktor Frankl; Viktor Gutmann; Walter Schachermayer; Wilhelm von der Emde
City of Vienna award for medicine	$null$	3.0	12.0	0.0	0.0	0.017578125000000007	1983-01-01T00:00:00Z	2016-01-01T00:00:00Z	Alfred Gisel; Andreas Rett; Christine Mannhalter; Ernst Wolner; Erwin Ringel; Hellmuth Petsche; Helmut Gadner; Hildegunde Piza-Katzer; Klaus Wolff; Ludwig Popper; Martha Eibl; Michael Marberger; Oleh Hornykiewicz; Otto Kraupp; Wilhelm Holczabek
Clarivate Citation Laureates	$null$	0.0	5.0	0.0	0.0	0.03125	2005-01-01T00:00:00Z	2016-01-01T00:00:00Z	Hideo Ōno; Masataka Nakazawa; Pertti J. Neuvonen; Pertti J. Neuvonen; Pertti J. Neuvonen
Clarke Medal	award	9.0	76.0	0.0	0.0	1.2026807291418248e-14	1878-01-01T00:00:00Z	2018-01-01T00:00:00Z	Alec Trendall; Alexander John Nicholson; Alfred Richard Cecil Selwyn; Alfred William Howitt; Andrew Gibb Maitland; Antony Underwood; Arthur Bache Walkom; Arthur Smith Woodward; Augustus Charles Gregory; Austin Burton Edwards; Byron Lamont; Carl Süssmilch; Charles Austin Gardner; Donald Thomas Anderson; Edgeworth David; Edward John Eyre; Edward Sydney Simpson; Edward de Courcy Clarke; Emma Johnston; Ernest Clayton Andrews; Ernest Willington Skeats; Ferdinand von Mueller; Frederick Chapman; Frederick Hutton; Frederick Manson Bailey; Frederick McCoy; George Bennett; George Bentham; George William Card; Gilbert Percy Whitley; Haddon King; Henry Caselli Richards; Herbert Andrewartha; Herman Rupp; Hubert Lyman Clark; Ian Murray Mackerras; Ian Plimer; Irene Crespin; James Dwight Dana; James Hector; John McConnell Black; John Murray; John Thomas Jutson; Joseph Dalton Hooker; Joseph Edmund Carne; Joseph James Fletcher; Joyce Winifred Vickery; Julian Tenison Woods; Klaus Rohde; Laurent-Guillaume
Claude Levi-Strauss Award	$null$	0.0	3.0	0.0	0.0	0.125	2009-01-01T00:00:00Z	2011-01-01T00:00:00Z	Antoine Compagnon; Dan Sperber; Jean Tirole
Clay Research Award	award	2.0	15.0	0.0	0.0	0.0011749267578125	1999-01-01T00:00:00Z	2017-01-01T00:00:00Z	Andrew Wiles; Artur Ávila; Ben Joseph Green; Bernd Siebert; Claire Voisin; David Gabai; Edward Witten; Ian Agol; Larry Guth; Laurent Lafforgue; Maryam Mirzakhani; Peter Scholze; Richard S. Hamilton; Richard Taylor; Scott Sheffield; Terence Tao; Yves Benoist
Clemens Winkler Medal	$null$	0.0	4.0	0.0	0.0	0.0625	1960-01-01T00:00:00Z	1998-01-01T00:00:00Z	Hans-Heinz Emons; Kurt Schwabe; Richard Müller; Wilhelm Fresenius
Cloëtta Prize	Swiss academic biomedical distinction	2.0	14.0	0.0	0.0	0.0020904541015624996	1974-01-01T00:00:00Z	2017-01-01T00:00:00Z	Adrian Merlo; Andreas Lüthi; Denis Jabaudon; Dominique de Quervain; Hans Hengartner; Hans Thoenen; Jean-François Borel; Joachim Seelig; Martin Ernst Schwab; Michael Otmar Hengartner; Nouria Hernandez; Sabine Werner; Susumu Tonegawa; Ueli Schibler; Urs A. Meyer; Walter Schaffner
Coblentz Award	spectroscopy award	0.0	7.0	0.0	0.0	0.0078125	1964-01-01T00:00:00Z	2002-01-01T00:00:00Z	Andrei Tokmakoff; C. Bradley Moore; Giuseppe Zerbi; John F. Rabolt; John Overend; Jon T. Hougen; Richard P. Van Duyne
Cole Prize	one of two prizes awarded by the American Mathematical Society	0.0	3.0	0.0	0.0	0.125	1928-01-01T00:00:00Z	2006-01-01T00:00:00Z	John G. Thompson; János Kollár; Leonard Eugene Dickson
Cole Prize in Number Theory	$null$	0.0	9.0	0.0	0.0	0.001953125	1931-01-01T00:00:00Z	2014-01-01T00:00:00Z	Don Zagier; Gorō Shimura; Harry Vandiver; Henry Mann; János Pintz; Manjul Bhargava; Paul Erdős; Peter Sarnak; Richard Taylor
Collier Trophy	annual aviation award administered by the US National Aeronautical Association	0.0	6.0	0.0	0.0	0.015625	1911-01-01T00:00:00Z	1951-01-01T00:00:00Z	Chuck Yeager; Glenn Curtiss; John Stack; John Stack; Luis Walter Alvarez; Walter M. Boothby
Communicator Award of DFG	German science award for excellence in communication of research in broad public	0.0	9.0	0.0	0.0	0.001953125	2001-01-01T00:00:00Z	2020-01-01T00:00:00Z	Andreas Zick; Boris Zernikow; Christian Drosten; Friedemann Schrenk; Gerold Wefer; Günter M. Ziegler; Hanns Hatt; Harald Lesch; Stefan Kröpelin
Comstock Prize in Physics	award	0.0	11.0	0.0	0.0	0.00048828125	1913-01-01T00:00:00Z	2009-01-01T00:00:00Z	Charles Hard Townes; Charles L. Bennett; Charles Pence Slichter; Chu Ching-wu; John Clarke; Leon Cooper; Percy Williams Bridgman; Peter Sorokin; Robert A. Millikan; Robert H. Dicke; Theodor W. Hänsch
ConSozial Science Prize	$null$	0.0	1.0	0.0	0.0	0.5	2016-01-01T00:00:00Z	2016-01-01T00:00:00Z	Hans Thiersch
